pass_id,group,runner,cron_utc,local_time,timezone,status,does,justification
FINAL,FINAL,daily_update.yml,30 21 * * 1-5,,,ACTIVE,"todos los fetchers de Actions + ACM + RY + s01b --final + alertas","Existente. No se mueve en este lote: su hora forma parte del acta S01B (F6 pendiente)."
USDF1,USDF,usd_factor.yml,30 15 * * 1-5,,,ACTIVE,"tipos de referencia del BCE + §10 + s01b provisional","Existente. BCE ~16:00 CET (14:00Z verano / 15:00Z invierno)."
USDF2,USDF,usd_factor.yml,30 17 * * 1-5,,,ACTIVE,"segunda oportunidad del BCE","Existente."
COT1,COT,g8_port_run.yml,5 21 * * 5,,,ACTIVE,"COT de la CFTC","Existente. CFTC viernes 15:30 ET (19:30Z verano / 20:30Z invierno)."
COT2,COT,g8_port_run.yml,5 9 * * 6,,,ACTIVE,"segunda oportunidad COT","Existente."
METALS,METALS,metals_update.yml,0 7 * * 6,,,ACTIVE,"MDP semanal","Existente; tras el COT del viernes."
ASIA1,ASIA,intraday_fetch.yml,23 0 * * 1-5,,,PLANNED_F5,"TONA, AONIA, bills AUD y JPY, RY JPY — solo descargas + vigilancia + commit","BoJ publica la base a las 08:50 JST = 23:50Z (manual oficial de la API): primera consulta 33 min después. AONIA/F1 observado disponible entre 21:00Z y 23:50Z."
ASIA2,ASIA,intraday_fetch.yml,17 3 * * 1-5,,,PLANNED_F5,"segunda oportunidad Asia","Si ASIA1 llega pronto, se retrasa o se omite."
EU,EU,intraday_fetch.yml,17 13 * * 1-5,,,PLANNED_F5,"€STR, curva BCE, SONIA, curva BoE, SOFR (verano)","€STR 08:00 CET/CEST; curva BCE 12:00 CET; SOFR 08:00 ET = 12:00Z (EDT) / 13:00Z (EST)."
US,US,intraday_fetch.yml,47 15 * * 1-5,,,PLANNED_F5,"SOFR (invierno) + CORRA + bills CAD + suelos + BIS + NY Fed ACM","Segunda oportunidad de SOFR en invierno; CORRA ~09:00 ET (a verificar)."
LATE,LATE,intraday_fetch.yml,17 23 * * 1-5,,,PLANNED_F5,"FRED (bills US, RY USD, IORB) tras la actualización de la tarde","FRED/H.15 ~20:15Z verano, ~21:15Z invierno (registro): cubre invierno con margen; segunda oportunidad de FINAL."
MAC1,MAC,launchd com.g8.nzd-b2,,08:00,Africa/Malabo,ACTIVE,"RBNZ B2, SNB (RSS, curva, zirepo), TONA","Existente. Bata sin cambio de hora (UTC+1)."
MAC2,MAC,launchd com.g8.nzd-b2,,17:00,Africa/Malabo,PLANNED_INSTALL,"segunda ejecución del Mac","Curva SNB (14:30 hora suiza = 12:30Z/13:30Z) el mismo día 1; SARON del RSS; segunda oportunidad de B2 y R10."
